timestamp, since_start, heart_rate 

1677098105631,0,61
1677098106629,998,61
1677098107606,1975,61
1677098108596,2965,61
1677098109576,3945,61
1677098110615,4984,61
1677098111605,5974,62
1677098112607,6976,62
1677098113649,8018,62
1677098115161,9530,63
1677098115630,9999,63
1677098116597,10966,63
1677098118606,12975,63
1677098118636,13005,64
1677098120058,14427,64
1677098121084,15453,64
1677098122061,16430,65
1677098123086,17455,65
1677098124056,18425,66
1677098125035,19404,66
1677098126009,20378,66
1677098127120,21489,66
1677098127985,22354,66
1677098128995,23364,67
1677098129972,24341,67
1677098131007,25376,67
1677098131966,26335,67
1677098132953,27322,67
1677098133940,28309,67
1677098134931,29300,67
1677098135925,30294,67
1677098136912,31281,67
1677098137914,32283,67
1677098138894,33263,67
1677098139871,34240,66
1677098140874,35243,66
1677098141860,36229,66
1677098142859,37228,66
1677098144809,39178,65
1677098144825,39194,65
1677098145854,40223,65
1677098146779,41148,65
1677098147831,42200,64
1677098148790,43159,64
1677098149787,44156,64
1677098150769,45138,64
1677098151761,46130,64
1677098152750,47119,64
1677098153744,48113,64
1677098154741,49110,63
1677098155724,50093,63
1677098156713,51082,63
1677098157707,52076,63
1677098158701,53070,63
1677098159681,54050,63
1677098160671,55040,63
1677098161659,56028,63
1677098162653,57022,63
1677098163653,58022,63
1677098164653,59022,63
1677098165623,59992,63
1677098167609,61978,63
1677098167708,62077,63
1677098169084,63453,63
1677098170078,64447,63
1677098171562,65931,63
1677098172052,66421,63
1677098173047,67416,63
1677098174529,68898,63
1677098175026,69395,63
1677098176019,70388,63
1677098177007,71376,63
1677098177992,72361,63
1677098178986,73355,63
1677098179975,74344,63
1677098180966,75335,63
1677098181954,76323,62
1677098182926,77295,62
1677098183934,78303,62
1677098184931,79300,63
1677098185922,80291,63
1677098186905,81274,63
1677098187926,82295,63
1677098188889,83258,63
1677098189883,84252,63
1677098191859,86228,63
1677098191913,86282,63
1677098192856,87225,64
1677098193836,88205,64
1677098194803,89172,64
1677098195839,90208,64
1677098196812,91181,64
1677098197801,92170,64
1677098198791,93160,64
1677098199781,94150,64
1677098200763,95132,64
1677098201753,96122,63
1677098202743,97112,63
1677098203735,98104,63
1677098204729,99098,63
1677098205715,100084,63
1677098206712,101081,62
1677098207696,102065,62
1677098208684,103053,63
1677098209673,104042,63
1677098210663,105032,63
1677098211654,106023,62
1677098212646,107015,62
1677098213636,108005,62
1677098214624,108993,63
1677098216603,110972,63
1677098216639,111008,63
1677098217587,111956,62
1677098219095,113464,62
1677098220076,114445,62
1677098221063,115432,62
1677098222052,116421,62
1677098223037,117406,62
1677098224031,118400,62
1677098225019,119388,62
1677098226014,120383,62
1677098227000,121369,62
1677098227994,122363,62
1677098228977,123346,62
1677098229973,124342,62
1677098230975,125344,62
1677098231952,126321,62
1677098232935,127304,63
1677098233952,128321,63
1677098234916,129285,62
1677098235911,130280,62
1677098236904,131273,63
1677098237889,132258,63
1677098238876,133245,63
1677098239872,134241,63
1677098240860,135229,62
1677098241851,136220,62
1677098242848,137217,62
1677098243841,138210,63
1677098244821,139190,63
1677098245811,140180,63
1677098246805,141174,63
1677098247791,142160,63
1677098248781,143150,63
1677098249783,144152,63
1677098250760,145129,63
1677098251762,146131,63
