timestamp, rr, since_start 

1677897894526,958,23615
1677897895471,968,24583
1677897896461,950,25533
1677897897452,953,26486
1677897898487,922,27408
1677897899477,927,28335
1677897900468,931,29266
1677897901456,907,30173
1677897901491,942,31115
1677897902943,947,32062
1677897903933,914,32976
1677897904921,865,33841
1677897905911,897,34738
1677897906901,910,35648
1677897907892,875,36523
1677897908882,897,37420
1677897909872,897,38317
1677897909902,848,39165
1677897910862,841,40006
1677897911852,857,40863
1677897912842,888,41751
1677897913832,935,42686
1677897914822,958,43644
1677897915812,995,44639
1677897916802,962,45601
1677897917792,959,46560
1677897918782,982,47542
1677897919771,1018,48560
1677897920762,1056,49616
1677897921751,1048,50664
1677897922742,1032,51696
1677897923732,1004,52700
1677897924721,1009,53709
1677897925712,976,54685
1677897926701,1009,55694
1677897927693,1013,56707
1677897929673,984,57691
1677897929710,1004,58695
1677897931653,972,59667
1677897931712,1008,60675
1677897932641,1042,61717
1677897933631,1020,62737
1677897934622,1011,63748
1677897935612,1009,64757
1677897936602,960,65717
1677897937592,1003,66720
1677897938582,1003,67723
1677897939572,1010,68733
1677897940562,998,69731
1677897941552,969,70700
1677897942542,988,71688
1677897943532,989,72677
1677897944522,962,73639
1677897945510,955,74594
1677897946502,1025,75619
1677897947492,1032,76651
1677897948482,1005,77656
1677897949472,1003,78659
1677897950462,1012,79671
1677897951452,970,80641
1677897952937,989,81630
1677897953927,996,82626
1677897954917,956,83582
1677897955907,913,84495
1677897956897,913,85408
1677897957887,960,86368
1677897958877,956,87324
1677897959869,1007,88331
1677897960857,1039,89370
1677897961847,999,90369
1677897962837,982,91351
1677897963827,983,92334
1677897964817,989,93323
1677897965807,984,94307
1677897966796,1100,95407
1677897967787,1052,96459
1677897968777,1023,97482
1677897969767,1006,98488
1677897970757,984,99472
1677897971747,979,100451
1677897972738,972,101423
1677897974221,998,102421
1677897974717,1029,103450
1677897975707,1029,104479
1677897976696,1000,105479
1677897977687,983,106462
1677897979667,979,107441
1677897979715,956,108397
1677897980656,976,109373
1677897981646,1006,110379
1677897982636,996,111375
1677897983626,1014,112389
1677897984616,994,113383
1677897985606,972,114355
1677897986596,963,115318
1677897987586,947,116265
1677897988576,953,117218
1677897989566,1013,118231
1677897990555,1021,119252
1677897991546,1026,120278
1677897992536,1012,121290
1677897993526,980,122270
1677897994516,975,123245
1677897995506,969,124214
1677897996496,998,125212
1677897997486,1035,126247
1677897998476,1059,127306
1677897999962,1040,128346
1677898000456,1002,129348
1677898001941,970,130318
1677898002931,963,131281
1677898003921,976,132257
1677898004911,980,133237
1677898005901,1002,134239
1677898006891,1026,135265
1677898007881,1084,136349
1677898008871,1051,137400
1677898009861,1012,138412
1677898010851,1000,139412
1677898011841,983,140395
1677898012831,969,141364
1677898013821,975,142339
1677898014811,977,143316
1677898015803,1002,144318
1677898016791,1044,145362
1677898017781,1045,146407
1677898018771,997,147404
1677898019761,995,148399
1677898020750,951,149350
1677898021740,943,150293
1677898022731,916,151209
1677898023720,930,152139
1677898024711,953,153092
1677898025700,1012,154104
1677898026691,1057,155161
1677898028671,1034,156195
1677898028718,967,157162
1677898030651,967,158129
1677898030702,955,159084
1677898031640,945,160029
1677898032630,925,160954
1677898032657,963,161917
1677898033621,971,162888
1677898034610,1004,163892
1677898035600,1005,164897
1677898036590,978,165875
1677898037580,950,166825
1677898038570,928,167753
1677898039560,923,168676
1677898040550,939,169615
1677898041540,955,170570
1677898042530,953,171523
1677898043520,889,172412
1677898044509,891,173303
1677898044527,874,174177
1677898045500,836,175013
1677898046489,823,175836
1677898047480,778,176614
1677898048470,774,177388
1677898048495,784,178172
1677898050450,758,178930
1677898050479,750,179680
1677898050497,739,180419
1677898051935,724,181143
1677898052924,709,181852
1677898053914,705,182557
1677898053937,696,183253
1677898054905,678,183931
1677898055894,672,184603
1677898055911,666,185269
1677898056885,665,185934
1677898057876,666,186600
1677898057908,664,187264
1677898058864,659,187923
1677898059855,659,188582
1677898059877,656,189238
1677898060845,658,189896
1677898061835,652,190548
1677898061867,660,191208
1677898062825,658,191866
1677898063815,667,192533
1677898063853,682,193215
1677898064805,709,193924
1677898065795,771,194695
1677898066785,781,195476
1677898066812,815,196291
1677898067777,799,197090
1677898068765,764,197854
1677898069754,759,198613
1677898069772,733,199346
1677898070745,726,200072
1677898071735,733,200805
1677898072725,744,201549
1677898073715,762,202311
1677898073742,807,203118
1677898074705,816,203934
1677898075694,808,204742
1677898076685,796,205538
1677898076709,774,206312
1677898078665,764,207076
1677898078708,739,207815
1677898080645,739,208554
1677898080672,740,209294
1677898080707,736,210030
1677898081635,757,210787
1677898082625,789,211576
1677898083615,804,212380
1677898083640,801,213181
1677898084605,780,213961
1677898085595,768,214729
1677898086584,743,215472
1677898086618,735,216207
1677898087575,737,216944
1677898089060,720,217664
1677898089555,737,218401
1677898089579,743,219144
1677898090545,786,219930
1677898091534,804,220734
1677898092525,807,221541
1677898093515,822,222363
