timestamp, rr, since_start 

1675835059098,1201,19234
1675835060089,1147,20381
1675835061080,1137,21518
1675835062067,1140,22658
1675835063102,1072,23730
1675835064094,1192,24922
1675835065084,1205,26127
1675835067064,1174,27301
1675835068099,1120,28421
1675835069089,1169,29590
1675835070079,1139,30729
1675835071386,995,31724
1675835072867,1007,32731
1675835072904,943,33674
1675835074354,903,34577
1675835075344,919,35496
1675835076334,1032,36528
1675835077323,1017,37545
1675835078314,1189,38734
1675835079303,1185,39919
1675835081284,1184,41103
1675835082274,1238,42341
1675835083264,1383,43724
1675835085244,1340,45064
1675835086233,1391,46455
1675835088213,1434,47889
1675835089202,1383,49272
1675835090192,1375,50647
1675835092172,1333,51980
1675835093164,1422,53402
1675835094152,1333,54735
1675835096134,1317,56052
1675835097124,1343,57395
1675835099106,1315,58710
1675835101081,1313,60023
1675835101099,1283,61306
1675835102073,1236,62542
1675835104053,1255,63797
1675835105538,1354,65151
1675835106529,1279,66430
1675835107518,1291,67721
1675835109498,1282,69003
1675835110488,1328,70331
1675835111478,1290,71621
1675835112468,1245,72866
1675835114448,1289,74155
1675835115438,1294,75449
1675835116428,1279,76728
1675835118408,1252,77980
1675835119398,1300,79280
1675835120388,1324,80604
1675835121378,1283,81887
1675835123358,1239,83126
1675835124350,1282,84408
1675835125338,1288,85696
1675835127318,1312,87008
1675835129299,1281,88289
1675835129358,1275,89564
1675835130288,1268,90832
1675835132269,1269,92101
1675835133259,1252,93353
1675835134249,1262,94615
1675835135239,1308,95923
1675835137218,1270,97193
1675835138207,1241,98434
1675835139198,1230,99664
1675835140189,1221,100885
1675835142168,1307,102192
1675835143158,1291,103483
1675835144148,1278,104761
1675835146128,1242,106003
1675835147118,1299,107302
1675835149099,1326,108628
1675835149163,1267,109895
1675835151130,1271,111166
1675835152068,1315,112481
1675835153058,1288,113769
1675835154542,1284,115053
1675835156523,1207,116260
1675835157513,1193,117453
1675835158502,1272,118725
1675835160482,1326,120051
1675835161472,1284,121335
1675835162462,1241,122576
1675835163452,1205,123781
1675835165432,1256,125037
1675835166422,1323,126360
1675835167412,1293,127653
1675835168402,1231,128884
1675835170382,1218,130102
1675835171372,1209,131311
1675835172362,1261,132572
1675835173352,1236,133808
1675835175332,1249,135057
1675835176322,1246,136303
1675835177312,1308,137611
1675835179324,1328,138939
1675835180283,1297,140236
1675835181273,1242,141478
1675835182262,1277,142755
1675835184243,1257,144012
1675835185232,1291,145303
1675835186223,1294,146597
1675835187213,1241,147838
1675835189192,1287,149125
1675835190181,1249,150374
1675835191172,1294,151668
1675835193152,1332,153000
1675835194637,1332,154332
1675835195132,1291,155623
1675835196122,1276,156899
1675835199093,1251,158150
1675835199147,1285,159435
1675835200082,1296,160731
1675835202062,1295,162026
1675835203547,1211,163237
1675835204537,1249,164486
1675835206517,1319,165805
1675835207506,1356,167161
1675835208497,1324,168485
1675835209485,1291,169776
1675835210478,1289,171065
1675835211466,1253,172318
1675835212456,1009,173327
1675835212496,1014,174341
1675835213446,804,175145
1675835216417,967,176112
1675835217407,856,176968
1675835218397,870,177838
1675835219385,935,178773
1675835220375,945,179718
1675835220392,916,180634
1675835221365,895,181529
1675835222355,854,182383
1675835223347,826,183209
