timestamp, since_start, heart_rate 

1677562631916,0,60
1677562632897,981,60
1677562633894,1978,60
1677562634898,2982,59
1677562635925,4009,59
1677562636902,4986,59
1677562638008,6092,59
1677562638995,7079,59
1677562639973,8057,60
1677562640966,9050,59
1677562641963,10047,59
1677562642919,11003,59
1677562643933,12017,59
1677562644923,13007,60
1677562645923,14007,60
1677562646921,15005,60
1677562647911,15995,60
1677562649392,17476,60
1677562650369,18453,61
1677562651344,19428,61
1677562652347,20431,61
1677562653307,21391,61
1677562654332,22416,61
1677562655323,23407,61
1677562656306,24390,61
1677562657282,25366,60
1677562658257,26341,60
1677562659284,27368,59
1677562660266,28350,58
1677562661275,29359,57
1677562662218,30302,57
1677562663245,31329,56
1677562664236,32320,55
1677562665227,33311,54
1677562666206,34290,53
1677562667167,35251,53
1677562668190,36274,52
1677562669178,37262,52
1677562670166,38250,51
1677562671127,39211,51
1677562672146,40230,51
1677562673136,41220,50
1677562674124,42208,50
1677562675116,43200,50
1677562676106,44190,50
1677562677066,45150,50
1677562678086,46170,49
1677562679076,47160,49
1677562680067,48151,49
1677562681058,49142,50
1677562683009,51093,50
1677562683075,51159,50
1677562684026,52110,50
1677562685018,53102,49
1677562686196,54280,49
1677562686992,55076,49
1677562687957,56041,49
1677562688976,57060,49
1677562689966,58050,49
1677562690955,59039,50
1677562691946,60030,50
1677562692906,60990,50
1677562693927,62011,50
1677562694915,62999,50
1677562695906,63990,49
1677562696895,64979,49
1677562697886,65970,49
1677562699341,67425,49
1677562700362,68446,50
1677562701355,69439,50
1677562702343,70427,50
1677562703333,71417,50
1677562704322,72406,50
1677562705281,73365,50
1677562706299,74383,49
1677562707293,75377,49
1677562709277,77361,50
1677562709325,77409,50
1677562710265,78349,50
1677562711221,79305,50
1677562712242,80326,50
1677562713233,81317,50
1677562714220,82304,50
1677562715212,83296,50
1677562716202,84286,49
1677562717195,85279,50
1677562718182,86266,50
1677562719141,87225,50
1677562720162,88246,51
1677562721152,89236,51
1677562722144,90228,51
1677562723139,91223,51
1677562724125,92209,51
1677562725080,93164,51
1677562726102,94186,51
1677562727103,95187,51
1677562728086,96170,51
1677562729068,97152,51
1677562730030,98114,51
1677562731048,99132,51
1677562732047,100131,50
1677562734023,102107,50
1677562734077,102161,50
1677562734981,103065,50
1677562736005,104089,50
1677562736989,105073,49
1677562737971,106055,49
1677562738972,107056,49
1677562739930,108014,49
1677562740954,109038,49
1677562741943,110027,49
1677562742934,111018,49
1677562743890,111974,49
1677562744908,112992,49
