timestamp, rr, since_start 

1676316024166,892,24875
1676316025158,878,25753
1676316026148,865,26618
1676316027183,845,27463
1676316027221,868,28331
1676316028173,836,29167
1676316029160,842,30009
1676316030245,899,30908
1676316031728,887,31795
1676316032223,853,32648
1676316032255,824,33472
1676316033214,801,34273
1676316034203,842,35115
1676316035190,916,36031
1676316036182,880,36911
1676316037172,876,37787
1676316038162,852,38639
1676316039153,872,39511
1676316039185,878,40389
1676316040142,854,41243
1676316041628,875,42118
1676316042616,876,42994
1676316043608,917,43911
1676316044596,946,44857
1676316045590,903,45760
1676316046577,901,46661
1676316047568,877,47538
1676316048557,862,48400
1676316049547,885,49285
1676316049581,900,50185
1676316050536,926,51111
1676316051527,919,52030
1676316052515,901,52931
1676316053507,893,53824
1676316054498,907,54731
1676316055486,921,55652
1676316056475,949,56601
1676316057467,940,57541
1676316058457,911,58452
1676316059447,889,59341
1676316059497,886,60227
1676316060437,894,61121
1676316061427,924,62045
1676316062418,939,62984
1676316063408,916,63900
1676316064395,895,64795
1676316065387,876,65671
1676316066377,878,66549
1676316068358,909,67458
1676316068421,918,68376
1676316068441,878,69254
1676316070344,862,70116
1676316070401,861,70977
1676316071327,887,71864
1676316072318,857,72721
1676316073308,854,73575
1676316073345,847,74422
1676316074297,830,75252
1676316075288,851,76103
1676316076283,894,76997
1676316077268,923,77920
1676316078257,908,78828
1676316079247,870,79698
1676316080237,853,80551
1676316081227,844,81395
1676316081263,876,82271
1676316082217,886,83157
1676316083207,907,84064
1676316084195,900,84964
1676316085187,875,85839
1676316086178,856,86695
1676316087167,847,87542
1676316088154,876,88418
1676316088175,892,89310
1676316089147,870,90180
1676316090632,876,91056
1676316091622,892,91948
1676316092612,878,92826
1676316093602,904,93730
1676316094592,926,94656
1676316095585,892,95548
1676316096572,867,96415
1676316096601,858,97273
1676316097562,854,98127
1676316098552,830,98957
1676316099542,828,99785
1676316100532,885,100670
1676316101522,929,101599
1676316102511,959,102558
1676316103501,935,103493
1676316104492,897,104390
1676316104523,880,105270
1676316105482,874,106144
1676316106472,878,107022
1676316107462,903,107925
1676316108452,935,108860
1676316109442,924,109784
1676316110432,883,110667
1676316111422,880,111547
1676316112412,860,112407
1676316112444,884,113291
