timestamp, since_start, heart_rate 

1676753640564,0,61
1676753641577,1013,61
1676753642538,1974,61
1676753643529,2965,61
1676753644523,3959,61
1676753645606,5042,61
1676753646924,6360,61
1676753647872,7308,61
1676753648895,8331,61
1676753649880,9316,61
1676753650861,10297,61
1676753651866,11302,61
1676753652886,12322,60
1676753653853,13289,60
1676753655300,14736,60
1676753655801,15237,61
1676753656827,16263,62
1676753657805,17241,62
1676753658802,18238,62
1676753659772,19208,63
1676753660782,20218,63
1676753661766,21202,63
1676753662754,22190,63
1676753663744,23180,63
1676753664735,24171,63
1676753665723,25159,63
1676753666724,26160,63
1676753667698,27134,63
1676753668722,28158,63
1676753669688,29124,63
1676753670688,30124,63
1676753671662,31098,63
1676753672650,32086,63
1676753673636,33072,62
1676753674638,34074,62
1676753675626,35062,62
1676753676607,36043,61
1676753677609,37045,61
1676753678577,38013,61
1676753679582,39018,61
1676753680578,40014,61
1676753681566,41002,61
1676753682552,41988,60
1676753683557,42993,60
1676753684539,43975,60
1676753685523,44959,61
1676753687012,46448,61
1676753687992,47428,61
1676753688974,48410,61
1676753689963,49399,60
1676753690970,50406,60
1676753691954,51390,60
1676753692953,52389,60
1676753693949,53385,60
1676753694928,54364,60
1676753695918,55354,60
1676753696905,56341,60
1676753697901,57337,60
1676753698892,58328,60
1676753699874,59310,60
1676753700910,60346,60
1676753701864,61300,60
1676753702842,62278,60
1676753703835,63271,61
1676753704826,64262,62
1676753705816,65252,62
1676753706808,66244,62
1676753707788,67224,62
1676753708787,68223,62
1676753710775,70211,62
1676753710804,70240,61
1676753711756,71192,61
1676753712749,72185,61
1676753713736,73172,61
1676753714723,74159,61
1676753715728,75164,61
1676753716705,76141,61
1676753717699,77135,61
1676753718688,78124,61
1676753719676,79112,61
1676753720665,80101,60
1676753721653,81089,60
1676753722654,82090,60
1676753723648,83084,60
1676753724629,84065,60
1676753725608,85044,60
1676753726606,86042,60
1676753727576,87012,60
1676753728598,88034,60
1676753729583,89019,60
1676753730569,90005,60
1676753731588,91024,60
1676753732549,91985,61
1676753733536,92972,61
1676753734529,93965,60
1676753736010,95446,60
1676753738002,97438,60
1676753738036,97472,60
1676753738982,98418,60
1676753739941,99377,60
1676753740978,100414,60
1676753741954,101390,60
1676753742948,102384,59
1676753743931,103367,59
1676753744923,104359,59
1676753745915,105351,59
1676753746908,106344,59
1676753747878,107314,59
1676753748876,108312,59
1676753749877,109313,59
1676753750864,110300,58
1676753751854,111290,58
1676753752847,112283,58
1676753753834,113270,58
1676753754833,114269,58
1676753755809,115245,58
1676753756782,116218,58
1676753757792,117228,58
1676753758783,118219,58
1676753759784,119220,57
1676753760748,120184,57
1676753761756,121192,57
1676753762748,122184,58
1676753763700,123136,58
1676753764741,124177,58
1676753765714,125150,58
1676753766670,126106,58
1676753767701,127137,58
1676753768684,128120,58
1676753769689,129125,58
1676753770669,130105,59
1676753771656,131092,59
1676753772675,132111,58
1676753773607,133043,59
1676753774622,134058,59
1676753775581,135017,59
1676753776604,136040,60
1676753777623,137059,60
1676753778586,138022,60
1676753779572,139008,60
1676753780549,139985,60
1676753781554,140990,60
1676753782548,141984,60
1676753783528,142964,60
1676753785007,144443,60
1676753786006,145442,60
1676753786987,146423,60
1676753787974,147410,60
1676753788979,148415,60
1676753789951,149387,60
1676753790953,150389,60
1676753791949,151385,60
1676753792937,152373,60
1676753793942,153378,62
1676753794900,154336,64
1676753795903,155339,65
1676753796865,156301,66
1676753797883,157319,66
1676753798861,158297,65
1676753799860,159296,65
1676753800855,160291,65
1676753801859,161295,66
1676753802820,162256,67
1676753803852,163288,69
1676753804802,164238,71
1676753805927,165363,74
1676753806796,166232,75
1676753807794,167230,76
1676753808814,168250,77
1676753809766,169202,78
1676753810755,170191,78
1676753811763,171199,79
1676753812712,172148,79
1676753813718,173154,79
1676753814717,174153,79
1676753815696,175132,78
1676753816698,176134,77
1676753817671,177107,75
1676753818718,178154,73
1676753819656,179092,73
1676753820655,180091,73
1676753821648,181084,74
1676753822667,182103,75
1676753823631,183067,75
1676753824613,184049,75
1676753825626,185062,75
1676753826595,186031,76
1676753827595,187031,76
1676753828605,188041,77
1676753829567,189003,78
1676753830555,189991,78
1676753831579,191015,78
1676753832541,191977,78
1676753833535,192971,78
1676753835014,194450,78
1676753836008,195444,78
1676753836979,196415,78
1676753837982,197418,79
1676753838978,198414,80
1676753839964,199400,80
1676753840975,200411,80
1676753841941,201377,80
1676753842958,202394,80
1676753843925,203361,80
1676753844913,204349,81
1676753845936,205372,81
1676753846893,206329,81
1676753847883,207319,80
1676753848905,208341,80
1676753849863,209299,80
1676753850855,210291,81
1676753851875,211311,81
1676753852834,212270,81
1676753853825,213261,82
1676753854840,214276,82
1676753855806,215242,81
1676753856794,216230,81
1676753857796,217232,81
1676753859260,218696,81
1676753860257,219693,81
1676753860762,220198,81
1676753861753,221189,80
1676753862732,222168,80
1676753863731,223167,80
1676753864691,224127,80
1676753865702,225138,80
1676753866832,226268,81
1676753867679,227115,80
1676753868657,228093,80
1676753869686,229122,80
1676753870650,230086,80
1676753871648,231084,80
1676753872634,232070,79
1676753873666,233102,79
1676753874615,234051,79
1676753875605,235041,78
1676753876594,236030,78
1676753877619,237055,77
1676753878568,238004,77
1676753879595,239031,78
1676753880553,239989,78
1676753881540,240976,79
1676753882552,241988,79
1676753883509,242945,80
1676753885006,244442,79
1676753886035,245471,79
1676753886983,246419,79
1676753887974,247410,79
1676753888973,248409,80
1676753889949,249385,80
1676753890943,250379,81
1676753891955,251391,81
1676753892926,252362,81
1676753893918,253354,81
1676753894952,254388,80
1676753895897,255333,80
1676753896893,256329,80
1676753897874,257310,80
1676753898865,258301,81
1676753899886,259322,82
1676753900844,260280,82
1676753901836,261272,83
1676753902846,262282,83
1676753903806,263242,82
1676753904805,264241,82
1676753905813,265249,81
1676753906784,266220,81
1676753907811,267247,81
1676753908764,268200,82
1676753909745,269181,82
1676753911780,271216,83
1676753911837,271273,83
1676753912732,272168,83
1676753913736,273172,82
1676753914692,274128,82
1676753915737,275173,82
1676753916683,276119,82
1676753917707,277143,82
1676753918663,278099,83
1676753919659,279095,83
1676753920672,280108,84
1676753921631,281067,84
1676753922624,282060,83
1676753923622,283058,83
1676753924627,284063,81
1676753925599,285035,81
1676753926615,286051,80
1676753927575,287011,81
1676753928573,288009,81
1676753929592,289028,82
1676753930544,289980,82
1676753931550,290986,83
1676753932524,291960,83
1676753934020,293456,83
1676753934996,294432,84
1676753936034,295470,85
1676753936980,296416,85
1676753938005,297441,87
1676753938947,298383,88
1676753939973,299409,89
1676753940927,300363,90
1676753941965,301401,91
1676753942922,302358,91
1676753943906,303342,91
1676753944909,304345,89
1676753945891,305327,83
1676753946877,306313,77
1676753947876,307312,73
1676753948855,308291,72
1676753949862,309298,70
1676753950838,310274,71
1676753951845,311281,73
1676753952819,312255,74
1676753953809,313245,74
1676753954797,314233,75
1676753955788,315224,76
1676753956778,316214,75
1676753957769,317205,75
1676753958794,318230,73
1676753959751,319187,73
1676753960756,320192,73
1676753961724,321160,74
1676753962716,322152,74
1676753963704,323140,75
1676753964702,324138,76
1676753965675,325111,76
1676753966682,326118,75
1676753967675,327111,75
1676753968684,328120,74
1676753969649,329085,75
1676753970623,330059,75
1676753971612,331048,75
1676753972640,332076,76
1676753973595,333031,76
1676753974588,334024,76
1676753975584,335020,76
1676753976576,336012,75
1676753977552,336988,74
1676753978549,337985,73
