timestamp, rr, since_start 

1676790523296,1076,17776
1676790524376,1124,18900
1676790525322,1129,20029
1676790526312,1145,21174
1676790527304,1056,22230
1676790529327,1116,23346
1676790530317,1107,24453
1676790531309,1097,25550
1676790532300,1175,26725
1676790533334,1006,27731
1676790534323,1009,28740
1676790535314,1083,29823
1676790536303,1026,30849
1676790537743,1035,31884
1676790539228,958,32842
1676790539723,933,33775
1676790539760,912,34687
1676790540713,865,35552
1676790541703,841,36393
1676790542694,851,37244
1676790543683,977,38221
1676790546654,1077,39298
1676790546714,1094,40392
1676790547643,1140,41532
1676790548633,1221,42753
1676790550613,1255,44008
1676790551603,1297,45305
1676790552593,1321,46626
1676790554572,1338,47964
1676790555563,1333,49297
1676790556552,1381,50678
1676790558531,1330,52008
1676790559521,1280,53288
1676790560512,1300,54588
1676790562493,1278,55866
1676790564477,1276,57142
1676790564535,1335,58477
1676790565461,1310,59787
1676790567443,1244,61031
1676790568433,1272,62303
1676790569422,1254,63557
1676790570413,1211,64768
1676790572393,1190,65958
1676790573382,1298,67256
1676790574373,1269,68525
1676790575363,1243,69768
1676790576352,1217,70985
1676790578332,1227,72212
1676790579322,1202,73414
1676790580312,1218,74632
1676790581301,1224,75856
1676790583778,1278,77134
1676790584768,1243,78377
1676790585756,1216,79593
1676790586748,1188,80781
1676790587737,1195,81976
1676790589717,1180,83156
1676790590707,1219,84375
1676790591698,1232,85607
1676790593677,1313,86920
1676790594667,1318,88238
1676790596647,1279,89517
1676790596698,1207,90724
1676790597638,1155,91879
1676790598628,1150,93029
1676790600608,1220,94249
1676790601597,1201,95450
1676790602588,1268,96718
1676790604567,1246,97964
1676790605558,1318,99282
1676790606547,1279,100561
1676790607538,1252,101813
1676790608528,1166,102979
1676790610507,1178,104157
1676790611497,1150,105307
1676790613478,1176,106483
1676790613539,1203,107686
1676790615538,1229,108915
1676790616447,1319,110234
1676790617443,1297,111531
1676790618431,1266,112797
1676790619417,1234,114031
1676790622388,1190,115221
1676790622431,1175,116396
1676790623377,1205,117601
1676790624367,1159,118760
1676790626347,1203,119963
1676790627337,1340,121303
1676790628327,1335,122638
1676790629317,1270,123908
1676790631297,1227,125135
1676790632782,1193,126328
1676790633771,1210,127538
1676790634762,1241,128779
1676790635752,1206,129985
1676790637731,1215,131200
1676790638722,1217,132417
1676790639711,1291,133708
1676790640701,1263,134971
1676790642682,1240,136211
1676790643671,1204,137415
1676790644661,1155,138570
1676790645651,1146,139716
1676790646642,1173,140889
1676790648622,1144,142033
1676790649611,1193,143226
1676790650602,1263,144489
1676790651591,1307,145796
1676790652581,1247,147043
1676790654562,1213,148256
1676790655551,1191,149447
1676790656541,1193,150640
1676790657532,1165,151805
1676790658521,1173,152978
1676790660502,1205,154183
1676790661491,1207,155390
1676790663472,1317,156707
1676790665452,1340,158047
1676790665504,1291,159338
1676790666441,1254,160592
1676790667431,1197,161789
1676790668421,1170,162959
1676790670401,1213,164172
1676790671391,1213,165385
1676790672381,1195,166580
1676790673371,1271,167851
1676790675351,1286,169137
1676790676341,1285,170422
1676790677331,1271,171693
1676790678321,1237,172930
1676790679311,1191,174121
1676790681786,1158,175279
1676790682776,1149,176428
1676790683766,1164,177592
1676790684756,1200,178792
1676790685744,1214,180006
1676790686738,1270,181276
1676790687726,1039,182315
1676790688717,1039,183354
1676790689706,932,184286
1676790690696,890,185176
1676790691686,852,186028
1676790692676,817,186845
1676790692708,823,187668
1676790692723,785,188453
1676790695644,849,189302
1676790696636,820,190122
1676790696753,816,190938
1676790697625,802,191740
1676790698614,790,192530
1676790699604,783,193313
1676790700594,782,194095
1676790700614,772,194867
1676790701586,761,195628
1676790702576,752,196380
1676790703566,738,197118
1676790703603,723,197841
1676790704554,708,198549
1676790705546,697,199246
1676790705571,697,199943
1676790706534,696,200639
1676790707526,708,201347
1676790708514,780,202127
1676790713491,1175,203302
1676790714454,1157,204459
1676790715446,1083,205542
1676790716434,1050,206592
1676790717425,1038,207630
1676790718414,1017,208647
1676790719405,1040,209687
1676790721385,1145,210832
1676790722375,1230,212062
1676790723365,1169,213231
1676790724355,1110,214341
1676790725345,1036,215377
1676790726335,957,216334
1676790726372,911,217245
1676790727331,904,218149
1676790728316,917,219066
1676790730296,925,219991
1676790731780,997,220988
1676790732770,1125,222113
1676790733761,1280,223393
1676790734750,1169,224562
1676790735741,1109,225671
1676790736730,1062,226733
1676790737720,976,227709
1676790738710,919,228628
1676790739700,850,229478
1676790740690,831,230309
1676790741681,865,231174
1676790742670,952,232126
1676790743660,1107,233233
1676790744650,1268,234501
1676790745640,1210,235711
1676790746630,1145,236856
1676790748611,1087,237943
1676790748669,1013,238956
1676790749600,989,239945
1676790750591,936,240881
1676790751580,917,241798
1676790752568,937,242735
1676790754550,1109,243844
1676790755540,1181,245025
1676790756530,1151,246176
1676790757520,1099,247275
1676790758510,1032,248307
1676790759500,984,249291
1676790760490,958,250249
1676790760518,938,251187
1676790763461,911,252098
1676790763524,938,253036
1676790764450,1078,254114
1676790765440,1142,255256
1676790766430,1104,256360
1676790767420,1029,257389
1676790768410,977,258366
1676790769400,954,259320
1676790769432,929,260249
1676790770389,896,261145
1676790771380,887,262032
1676790773360,916,262948
1676790774350,1118,264066
1676790775340,1129,265195
1676790776330,1130,266325
1676790777319,1041,267366
1676790778310,978,268344
1676790779300,1008,269352
1676790780290,987,270339
1676790781774,939,271278
1676790781806,916,272194
1676790783754,924,273118
1676790784744,972,274090
1676790785734,1064,275154
1676790786724,1066,276220
1676790787716,1022,277242
1676790787757,968,278210
1676790788705,918,279128
1676790789694,895,280023
1676790790685,875,280898
1676790791675,879,281777
1676790792664,874,282651
1676790793654,876,283527
1676790794644,940,284467
1676790795634,1097,285564
1676790796624,1152,286716
1676790797614,1121,287837
1676790798604,1083,288920
1676790799595,1014,289934
1676790800584,956,290890
1676790801574,944,291834
1676790802566,901,292735
1676790803555,874,293609
1676790804545,860,294469
1676790805535,864,295333
1676790806525,958,296291
1676790807515,1084,297375
1676790808505,1063,298438
1676790809494,1113,299551
1676790810485,1013,300564
1676790812466,961,301525
1676790812524,902,302427
1676790812541,879,303306
1676790814449,847,304153
1676790814503,837,304990
1676790815434,847,305837
1676790816424,853,306690
1676790817414,877,307567
1676790818899,989,308556
1676790819394,1083,309639
1676790820384,1101,310740
1676790821374,1081,311821
1676790822370,994,312815
1676790824344,939,313754
1676790824839,886,314640
1676790825335,842,315482
1676790825365,815,316297
1676790826324,810,317107
1676790827314,797,317904
1676790828304,826,318730
1676790829294,869,319599
1676790830284,980,320579
1676790831769,1015,321594
1676790832759,1037,322631
1676790833749,1000,323631
1676790834739,960,324591
1676790835729,909,325500
1676790836719,893,326393
1676790837709,894,327287
1676790837745,883,328170
1676790838699,866,329036
1676790839689,881,329917
1676790841670,976,330893
1676790842659,1083,331976
1676790843649,1081,333057
1676790843685,1050,334107
1676790844639,976,335083
1676790845630,911,335994
1676790846619,887,336881
1676790847609,875,337756
1676790848599,862,338618
1676790849589,864,339482
1676790850579,864,340346
1676790851569,895,341241
1676790852560,1002,342243
1676790853549,1046,343289
1676790854539,1013,344302
1676790855528,975,345277
1676790855556,904,346181
1676790856519,859,347040
1676790857509,837,347877
1676790858499,806,348683
1676790859489,816,349499
1676790860479,823,350322
1676790860505,836,351158
1676790862462,861,352019
1676790862522,940,352959
1676790864466,1019,353978
1676790865428,1059,355037
1676790865466,1037,356074
1676790866419,999,357073
1676790867407,899,357972
1676790868399,857,358829
1676790869386,820,359649
1676790869401,784,360433
1676790870376,763,361196
1676790871368,750,361946
1676790872356,745,362691
1676790872366,745,363436
